pd_index,respuesta
319,Pausas activas
320,"capacitaciones , actividades extra de regalo como masoterapia pausas activas ,"
321,Creo que la experiencia ya es muy buena
322,Ok
323,Mejorar los sueldos
324,Tener más claridad sobre el paso a contrato indefinido. A veces siento que no tengo la certeza si podré pasar a indefinido o no.
325,"Encuentro subir el sueldo sería una gran motivación , ya que es coste de vida está demaciado alto , los precios en supermercados etc"
326,Entregar mas herramientas de cursos y preparación a los funcionarios
327,"Se requieren mejoras en sueldo v/s la carga de trabajo, mejoras en equipos de trabajo como impresora, scaners, fotocopiadoras, moviliario, insumos en general siempre faltan, aseo e higiene de servicios (baños, escaleras, ventanas, superficies, todo muy mal efectuado)"
328,"SUELDOS DIGNOS.
Mejoramiento de la infraestructura.
Valorar el trabajo de sus funcionarios."
329,"Escuchar a sus trabajadores, no excluir a las personas por su profesión... Osea... Saber escuchar a una auxiliar de servicio, tens, etc, cuando tenga una acotación, darle una oportunidad a un trabajador que haya estudiado para entregar sus conocimientos a la institución."
330,Aumentar los sueldos
331,Trabajo en equipo con el resto de las unidades y participación más activa de parte de la coordinación para mejorar la atención directa y el ambiente laboral
332,"De mi punto de vista está todo bien, sólo depende de la actitud de cada uno"
333,Tener comunicación y solución con la jefatura directa ya que no los toman encuentras cada vez que uno los necesito de forma urgente ya que siempre dicen que están en reunión
334,Mejora de sueldo ademas de mejora en la infraestructura para ejercer las labores
335,Que contraten gente comprometida y responsable que le guste lo que realiza y con empatia al paciente.ademas que aumenten los sueldos para que buenos funcionarios trabajen con nosotros y no se vayan
336,"Mejorar el sueldo, sería  para trabajar  con más ganas!!"
337,En una comunicación
338,La alimentacion pésima...el sueldo deberían mejorarlo...deberían tener incentivos para el personal
339,Más cursos
340,"Ser más empaticos con el trabajador,"
341,Preocuparse de capacitar a los cargos altos en liderazgo y habilidades blandas
342,Aumento de sueldo según años de servio
343,Tener beneficios
344,Aumentar el sueldo de las secretarias
345,Contratar a los tec como Tec en enfermería no como auxiliares
346,Cambio de jefatura más empaticos
347,"Llevo 10 años trabajando acá, he luchado incanzablemente para equiparar mi sueldo con el de mis colegas, pero aún recibo el sueldo mínimo. $353.000.- He hablado con jefaturas para saber el motivo y jamas he recibido una respuesta que me deje satisfecha."
348,Po
349,Mejorar el sueldo
350,Generar condiciones de trabajo más dignas y metas más planificadas.
351,MEJORAR LOS SUELDOS
352,"Mi experiencia personal. Tiempo atrás tuve un problema con dos compañeros. Lo informé por escrito a mi coordinadora y  gerencia. Quedó en nada. Mi desilusión es que lo que me sucedió a nadie le importó. 
Finalmente, es un trabajo a conciencia. Que no en todos está."
353,Que debe haber un poco más de lineamientos de comunicación entre los que hacemos todos los días lo hay pero más atención entre loas compañeros
354,Mejores sueldos
355,Aumento de sueldo según cantidad de años trabajando en esta empresa
356,Sueldo acorde a las funciones de cada uno
357,"Ser más eficiente y que no existan tantos cambios y jefaturas. Dar beneficios reales al personal, a todos por igual y ser más humano. Se que ahora no somos una Corporación , somos una empresa. Pero igual se puede mejorar en muchos aspectos. Igual con Sanatorio hemos vivido muchas etapas, me ha dado mucho y yo les he dado mucho de mi vida. Creo que estamos en un posible equilibrio de dar y recibir."
358,"Para mejorar la experiencia de trabajar en la clinica sería lograr que todos los funcionarios tuviéramos los mismos beneficios, no importando a que sindicato se perteneciera ,creo injusto que un grupo tenga diferencias en cosas tan pequeñas como cantidad de dias administrativos, feriados que si caen día domingo algunos son remunerados con horas extras y otros no,son diferencias que dañan el alma,si somos una familia deberíamos tener por igual los mejores beneficios"
359,Aumento de sueldo
360,Un buen sistema informático y call center
361,"Agradezco la pregunta:

Trabajar en el respeto, valorar el trabajo, empatía, escuchar, profesionalismo, respetar a las personas, pero, ""sinceramente"", comunicación ""respetuosa""ergonomía para cada departamento( comodidad en tu trabajo) que no se note tanto la diferencia en la atención para nuestros clientes y el lugar de trabajo de los funcionarios.

Para finalizar, se ha entregado información de reclamos con respecto a funcionarios(ejecutivo o jefes), han sucedido situaciones graves, dolorosas, dónde han estado directamente involucrado, y aún, se mantienen entorpeciendo psicologicamente con la presencia el trabajo desarrollado a diario, y los funcionarios no hablan por temor, temor a perder la fuente de trabajo, y esto último, es grave, trabajar obligado y presionado. 

Agradezco y un gran abrazo"
362,"Conoscamonos. Inviten por servicios a mesas de dialogo constuctivo . Para ambas partes.
Sugiero. Que nos permitan continuar con locomocion  para ingreso y salida . Asi como lo hacen el Hospital traumatologico.Regional e Higueras.
Darnos algun descuento como funcionario ,en atencion de urgencias y pabellones , seria muy bueno para nosotros.
De vez en cuando recibir una visita en los servicios de la Gerencia. Sentir que somos cercanos . Y no esperar un evento para ello.Conocer en terreno como estan los servicios. Y dar tribuna a alguna peticion de mejoras ,para ir en directo beneficio del buen desarrollo de nuestras tareas.
Mirarnos a los ojos y sentir que somos una
 FAMILIA LABORAL"
363,Subir sueldos y evaluar coordinadores de servicios
364,En lo laboral reconocer más la labor del tens
365,Subir el sueldo
366,Preocuparse por su personal
367,Mejorar trato de nosotros mismos como trabajadores de la clinica
368,"Subir los sueldos, es soñado por todos creo yo"
369,"Mejorar los sueldos, ya que uno ingresa ganando una cantidad de dinero y pasan los años y este valor se mantiene, siendo que debería aumentar por el costo de la vida"
370,Mejorar las condiciones de trabajo del laboratorio sobre todo del espacio... Y los sueldos de los técnicos
371,Las jefaturas y los sistemas
372,mejorar nuestros sueldos
373,"No creo que mejore, a traves de los años todo empeoro."
374,Implementar más canales de comunicación entre jefaturas y empleados.
375,"Mejorar infraestructura, todo en una misma torre"
376,"Mejorar en forma prioritaria el trato del personal con nuestros usuarios.
No mantener por muchos años las jefaturas de los servicio.
Uso obligatorio y correcto de uniforme(cada quien usa lo que quiere administrativas)
Que el gerente esté el terreno ,que se vea.
Mejorar la infraestructura interna de los edificios de hospitalizado.
Mejorar el aseo ,muy por debajo de una gran clínica.
Capacitación de trato ,desde el médico hasta la auxiliar de servicio .
La clínica es un fuerte potencial, pero no han sabido potenciarlo."
377,"Actividades bien definidas por áreas, objetivos transversales"
378,Subir sueldos a funcionarios
379,No lo se
380,Mejorar sueldo de los tens para que trabajen con más entusiasmo
381,"Mejorar los sueldos, disminuir la carga laboral e implementar el liderazgo de la jefatura"
382,Quizás mejorar sueldos
383,"ver personas y no números, además de mejorar los sueldos."
384,Deberían poner más apoyo en los servicios (mas gente)
385,Ajustar las rentas de acuerdo al mercado
386,Cambio de coordinadora y jefe de servicio
387,"Contar con bonos, más beneficios y convenios"
388,Valorar mejor económicamente  asus trabajadores técnicos
389,"Disponer y rotar al personal acorde a sus necesidades de aprender sobre áreas específicas en el desarrollo profesional y no generales, por ejemplo: tener experiencia en RRHH, FINANZAS Etc, sin embargo pertenecer al área de ADMISIÓN/SECRETARIO de la clínica que no va más allá de aprender sistemas internos y atención a público. No aportando así conocimiento de intelecto acorde a Perfil profesional del colaborador."
390,"mejorar los sueldos! no puede ser que los ingresos nuevos, ganen más que personal antiguo y mejorar el sistema en general muchos problemas con erika, las telemedicinas e imed."
391,Ajustar las remuneraciones acorde al mercado
392,Más empatía hacia los trabajadores
393,"se necesita refuerzos positivos por parte de la jefatura directa, como tambien de la gerencia; RECONOCER  que somos  Personas y no un numero mas que es reemplazable
Si bien existen muchas personas para un cargo, el compromiso con la empresa no todos lo tienen, por lo tanto es facil ver a los funcionarios sentados jugando con el celular y los timbres sonando, lo que da una muy  mala imagen de la institucion y esto lo transmiten los pacientes y / o familiares.
Mientras las jefaturas no cumplan su rol, esto no mejorara
Tambien falta compromiso por parte de la gerencia en realizar visitas a terreno. Un gran ejemplo es lo sucedido al inicio de la pandemia, la enfermera jefe , enfermera de calidad, jamas se vieron en la clinica supongo que protegiendose,  y los funcionarios trabajando en terreno asumiendo todos los riesgos y sin ningun reconocimiento a la laboral realizada.
Me contagie con covid en la clinica y mi jefatura jamas me llamo para saber mi condicion menos de la gerencia, el unico llamado recibido fue para interrogarme si habia cumplido con las normas de proteccion
En resumen un numero mas, reemplazable
Mientras se proceda asi, los funcionarios jamas se sentiran parte de la institucion, por lo que no se subiran al barco y si lo hacen no remaran hacia el mismo lado
Se necesita demostrar por parte de la gerencia que el funcionario si importa, que se sienta parte de la institucion , porque ellos son los que hacen la institucion, quienes con su quehacer y trato a los usuarios externos logran fidelizar a este cliente quien se llevara una imagen que pueda recomendar la institucion, no olvidando que la mejor propaganda es el boca a boca, no una pancarta o propaganga en un medio audio visual o escrita"
394,Reconocimiento e incentivos
395,Subir sueldos  y estar más presente con el personal
396,"Capacitaciones dentro del horario de trabajo, redistribución de la carga laboral. Ojalá seguir mejorando los almuerzos."
397,Mejor diálogo con los trabajadores por los medios dispuestos por la clínica
398,Mejorar los sueldos
399,Mayor posibilidad de comunicación con los superiores.
400,Mas espacios para compartir dentro de la jornada laboral
401,El prestigio y resto que tiene sanatorio alemán mantenerlo y mejorarlo en lo que se pueda estar fallando
402,"Delimitar un poco la línea de trabajo, más equitativo. Y sobre todo, quitar el amndoneo entre los pares de trabajo que no son jefaturas."
403,"Tener estacionamiento mas cercano para funcionarios, porque en inviernos llegamos todas mojadas desde el que esta al lado del Jumbo y ahora prohibieron estacionarse en Mahuzier,  los casilleros que fueran mas amplios o hubiera menos gente, que se reconociera el hecho de tener especialidades, magister o diplomado, cursos, sobre todo los que trabajos en unidades críticas, haciendo tipo carrera funcionaria como el hospital, en relación a lo mismo que aumentaran el sueldo de acuerdo a eso, que la comida sodexo subiera de categoría y no fuera la colación mas barata porque aveces es incomible, que variaran la colación, nos dan todos los turnos noche lo mismo, un pan que aveces nadie se come, algún menú vegetariano, o una galleta soda, con mermelada sería mas aceptada, que hubiera una maquina de café para todos los funcionarios no solo para los médicos, creo que con todo eso seríamos mas felices aún. Que el personal de Recurso humano, atendiera bien a los funcionarios porque son el canal de comunicación con gerencia y aveces dan malas respuestas o no responden, generando mas problemas en vez de ayudar."
404,Mejorar los tiempos
405,"Yo creo que todo está bien hasta ahora... 
A lo mejor mejorar un poco el sueldo"
406,"Evaluar la carga de trabajo en el puesto de farmacia que envía los insumos a TPV, ya que hay una sola persona y se necesitan dos.Gracias"
407,.
408,"TENER MAS APOYO DEPARTE DE JEFATURA QUE HAGAN REUNIONES PARA QUE DEMOS A CONOCER NUESTRAS INQUIETUDES Y SUBIR LAS REMUNERACIONES YA QUE POR AÑOS NO LO HAN HECHO Y DEBEN ESTAR DE ACUERDO AL MERCADO ACA OBVIAMENTE NO LO ESTAN SE GANA DEMASIADO , CON ESTOS DOS INCENTIVOS SE TRABAJARIA MUY BIEN Y MUY MOTIVADA"
409,"Que suban mi sueldo es bajísimo, es la clínica que peor paga en Concepción 
Modernización de habitaciones las otras clínicas prestan mayor calidad en este aspecto
Áreas de descanso del personal son pauperrimas y pequeñas"
410,"Mejor menú en el casino y mejor equipamiento para trabajar, por ejemplo silla buena para la postura, pausas activas, monitos para notebook , etc"
411,Mejorar los sueldos
412,Orientar al personal nuevo.un tour por las dependencias..
413,"Sueldo , comida , calidad de trabajo , bus de acercamiento , y mas preocupacion al personal ,"
414,Mas personal y mejoras salariales
415,"Escuchar más a los trabajadores sobre demandas y requerimientos para lograr que actividades diarias en pro de los pacientes sean escuchadas y lograr experiencias más satisfactorias. 
Además brindar instancias de capacitación y que estas cuando sean de forma voluntaria e individual se vean reflejadas en el sueldo."
416,"En mi caso, mi servicio necesita de mayores recursos materiales para lograr satisfacer la necesidad del día a día."
417,Proponer ideas de trabajo en equipo y apoyarnos comprometidas con un buen ambiente laboral. Ya que el ambiente laboral es bastante desagradable y hasta tóxico.
418,"Mejorar el sueldo (matrona), me encantaria teabajar de dia."
419,"Los sueldos, horarios de trabajo y bus de acercamiento"
420,"Mejorar los estares para personal, son 12 hrs trabajando, que de vez en cuando se necesita un momento de descanso en un lugar digno."
421,"Mejorar sueldos, mejorar almuerzos considerando dietas veg, mejorar condiciones laborales, mejorar seguridad para personal incluyendo estacionamientos, reuniones de servicio interdisciplinarias, evaluaciones constantes a jefaturas, beneficios de atención en clínica si eres funcionario."
422,Ralizar reuniones los gerentes con los funcionarios y revisar las necesidades cada departamento ( ya son distintas necesidades) y así acercarse más a los funcionarios...un poco más de cercanía..pedir opinión de los funcionarios que trabajan directamente con los clientes son los únicos que les van a informar en qué estamos fallando como empresa
423,"Mejoras los sueldos ya que eso es un gran insentivo tanto para nosotros q ya estamos acá trabajando como tb para las personas q se interesan en trabajar en una de las clínicas más grandes y prestigiosa como lo es nuestra clínica sanatorio alemán, así esto ayudará a no estar pensando en un cambio de trabajo donde poder recibir un mejor sueldo , cómo lo han hecho aquellos q se han ido porque en otros lugares les han ofrecido un sueldo mejor q acá con las mismas o menores funciones, creo en lo personal q es muy importante mantener al personal bien y contento en todo sentido , monetaria mente y relación entre sus pares igual , así todo es más fácil y bonito para sobrellevar el día a día ."
424,Subir los sueldos de los técnicos en enfermería
425,Mejorar las condiciones laborales (sueldos)
426,Más capacitaciones o financiamiento para ellas
427,Que valoren más el trabajo dando todas las herramientas necesarias para que así se realize de mejor manera el trabajo
428,Todo bien
429,"Mejorar los espacios (oficina) con los que contamos en el área clínica, contar con un baño para la unidad haría también más cómoda la jornada."
430,Mejorar los sueldos
431,"Continuar por la misma senda e igual de preocupados por el personal, mantener personas formadas, felices y competentes es prioritario en toda organización. 
Sería ideal continuar con actividades recreativas por ejemplo para Fiestas Patrias, Navidad,  Aniversario de la clínica, entre otras."
432,Mejorar los sueldos
433,"Sueldos de acuerdo al mercado, pagar a profesionales por títulos obtenidos, generar beneficios con empresas externas, dar bono de vacaciones"
434,Escuchar más a su personar y darle la confianza para poder decir cosas que nos moleste sin tener miedo que  seamos despedida
435,"Subir los sueldos de forma transversal a los trabajadores, es bastante grande la brecha entre el servicio público y privado."
436,"Aparte del sueldo, mejorar los casilleros, en el sentido de que los profesionales tengamos nuestro propio espacio como fue siempre y terminar con el hacinamiento de los mismos. Esto último es una clara muestra de que la institución no nos valora.
A pesar de todo esto, me gusta mi trabajo y me entrego en ello al cien por ciento."
437,"Capacitar y fiscalizar en función de vulneración de derechos fundamentales a coordinadores y coordinadoras.
Mejorar beneficios en salud.
Premiar la antigüedad en la clínica para fidelizar a trabajadores y trabajadoras."
438,Ver al personal como personas y no como un número más.
439,Aumento del sueldo base
440,"Lo primero aumentar los sueldo de las secretarias, es demasiada la responsabilidad que tenemos y es un arduo trabajo lidiar día a día con los pacientes."
441,"Mantener siempre la cantidad de personal que corresponde en cada servicio, cuando falte una persona , reemplazarla , así no sobrecargar de trabajo a algunos"
442,Mejorar los sueldos de los trabajadores con sueldo minimo.
443,"sueldos, casilleros para el personal,"
444,"Mejoras salariales, mayores descuentos en atenciones medicas y quirurgicas para funcionarios.."
445,mejorar los sueldos
446,"Mejoraría el tema de transporte reincorporar el Transfer, aumentar los salarios, mayores beneficios y que la jefatura directa sea más empática y cercana"
447,"Quisas que en mi casi encontrara estabilidad, permanencia"
448,Tener sueldos justos
449,Mejor organización laboral y objetivos mas claros.
450,"Lo primero sería mejorar los sueldos de los técnicos en enfermería . Qué triste saber qué contratan gente con sueldos más altos y no valor a el personal que tienen trabajando en mi caso 35 años . El tener un estar digno para comer en los turnos de noches , el nuestro era un baño antes de la pandemia . Y no tener un baño en la unidad donde ir . Mejor los espacios de ingreso de pacientes más amplios y mejorar la calefacción en las zonas de ingresos . 
 Mejorar el aseo de la clínica , no es posible qué sólo se limpien los baños una vez cada 24 hrs . Los pacientes reclaman por los tachos de basura llenos y el piso sucio ."
451,"Un poco más de preocupación en las tardes ya que la locomoción está tan mala después de las 20:00 horas,en mi hogar se preocupan porque es de noche y hay tanta delincuencia
Guardias vigilando MAS en los pasillos y fuera de la clinica"
452,Compromiso con el personal y pacientes.
453,"En algunas lineas se ve, pero creo que se debería ver mas posibilidades de crecimiento, de que el reemplazo de jefaturas se de en PRIMERA INSTANCIA entre personal interno, quienes ya están comprometidos con la institución y que por supuesto tengan las competencias."
454,Mejor la calidad de sueldo para sus técnicos en enfermería ya que formamos un Rol importante en el establecimiento y sus sueldos son muy bajos para todo el trabajo que manifestamos.
455,"Establecer Alineamientos entre todos las áreas y su importancia en todo el proceso
Saber cuanto influye mi trabajo en los demás 
hacer entender que todos somos parte de esta maquina y que nuestra parte es igual de importante que el del lado"
456,Mejor comunicación y orientación de los procesos de trabajo de los supervisores
457,renovar instalaciones para el personal
458,Mejorar el.salario mensual.
459,"Reconocer años de experiencia, horas de capacitacion."
460,Que el sueldo refleje el grado de responsabilidad del cargo
461,"Jefaturas más empoderadas, mejorar la comunicación entre todos, valorar y cumplir los protocolos establecidos"
462,"Me parece que lo que están haciendo con esta encuesta es un muy buen paso. Lo otro que podría ser es tomar distintos funcionarios al azar y conversar. Cteo qué se sorprendería de muchas cosas. Hay muchas necesidades del personal y que seguramente la jefatura mayor, ni siquiera lo sabe. Gracias por esta oportunidad."
463,Mejor sueldo
464,Falta incentivos para los trabajadores
465,Más empatía
466,Las jefaturas debieran ser mas consientes de la cantidad de trabajo y estress a que estamos sometidos. Los continuos despidos nos insegurizan y estresan
467,"Mas regalías para los trabajadores, mejores sueldos."
468,Mayor entrega de información entre funcionarios y a pacientes.
469,"Subir los sueldos, igualarlos al servicio público por estamento y a más años de servicio mayor sueldo (es una sugerencia), esa es la gran desventaja de trabajar en una clínica."
470,El sueldo
471,Valorar los trabajos realizados con sueldos mas acordes
472,"Mejorar los trabajos en equipo, poniendo siempre  como foco principal al paciente, dando una atención segura y de calidad por sobre los números; con los recursos óptimos y adecuados, contando con  personal idóneo y bién remunerado de manera de mantenerlo cautivo y motivado y así sentirse orgulloso de tu lugar se trabajo y de pertenecer a esta Institución.
Buscar una instancia donde se pueda escuchar y sugerir la voz del personal frente a situaciones y decisiones que se vayan dando en el diario quéhacer,   de manera de tener colaboradores motivados e integrados.
Valor y reconocimiento a colaboradores que lo ameriten."
473,Hay muchas cosas que mejorar
474,Generar escuchas activas entre los servicios clinicos
475,Mejorar las remuneraciones y el estilo de liderazgo de algunas jefaturas
476,"Todo está bien, pero porque estudiamos y trabajamos ?por dinero ,y los sueldos de los TENS en general son muy bajos,demasiado bajos,es por ese motivo que aveces pienso en buscar otro trabajo,solo por eso."
477,"Preocuparse de las condiciones por áreas de servicio clínico, ejemplo, tener privacidad en las necesidades básicas del ser humano, tener un lugar donde comer, para servicios de áreas críticas."
478,"Mejorar los tiempos entre pabellon y pabellon 
Capacitación para el personal de acuerdo al area en que desempeña funciones
Preocupacion por la salud mental de los trabajadores 
Mejoramiento de condiciones laborales (ya sea a nivel de sueldos , asi como un lugar de descanso aceptable)
Dar tiempos para poder personalizar la atencion en el preoperatorio"
479,Mejorar las colaciones nocturnas
480,no propongo cambios
481,Subir el sueldo
482,Subir sueldos
483,.
484,"Considero que falta mucho que avanzar respecto a la calidez del personal y el trato con sus mismos compañeros, en el poco tiempo que llevo he visto mucha competencia. Respecto a infraestructura, considero que pabellón se queda muy al debe, el espacio es muy reducido en relación al flujo de pacientes que se tiene diariamente, encuentro insólito que el área que está originalmente destinada a post operatorio se deba compartir para funcionar como un pre operatorio e incluso un área para mantener a usuarios de atención ambulatoria."
485,Mejorar infraestructura
486,darle agua de melissa a algunos doc y colaboradores de la empresa
487,Si es posible aumentar los sueldos
488,Se debiese considerar la posibilidad de implementar espacios de charlas abiertas a los colaboradores con el fin de proporcionar mayores conocimientos clínicos a trabajadores nuevos como es mi caso. Con el finde proporcionar un mejor servicio a los clientes.
489,"Supervisar constantemente a los supervisores ya qué hay personas que no trabajan o no son eficientes y porque se hacen los o las simpáticas con los o las supervisores/as eso se pasa por alto, perjudicando y agrandando la carga laboral a las personas que realmente trabajamos"
490,Que seamos más escuchados
491,Realizar más capacitaciones y mejorar sueldos en relación al mercado
492,Más incentivos laborales
493,Pagar mejores sueldos
494,Reconocer los logros  de cada trabajador
495,Primero una mejora sustentable de los sueldos segundo motivación de parte de las propias jefaturas tercero motivación con bonos e incentivos
496,Mejorar los sueldos
497,Mejorar la remuneración teniendo en cuenta el trabajo que se realiza
498,Ser mas considerados con los funcionarios y tener beneficios como por ejemplo tomar pcr todas las semanas a su personal ya que hay una alta demanda en la clinica de pcr positivos.
499,Aumentar un poco el sueldo.
500,Tener mejores sueldos
501,Mejorar los sueldos
502,Mejorar los sueldos.soy tens y no estoy conforme con mi sueldo.
503,Mejorar la colacion
504,Evitar sobrecarga laboral
505,"Me encantaría , tener una infraestructura acordé a los más de120 años de esta clínica,realizar cursos  de relaciones laborales para mejorar atención hacia los pacientes y en mi servicio como tal exigir a los 
Médicos puntualidad en cirugías programadas ,( son pocos.,.pero los hay) esto produce cuello botella pienso que es falta respeto ,hacia otros equipos medicos.como
esto  repite !!! La. espera no mas .alla de  media hora , la clinica además debe aumentar  instrumental quirúrgico y no correr x cajas  a esterelizacion , y que hubiera reemplazo de.licencias y vacaciones,además post operado es un lugar donde es:preoperatorio, pacientes ambulatorios y esto se ve mal x sobrecarga laboral y me avergüenza  que la familia ve esto, además me duele , por los pacientes ya que.son ellos lejos mi mayor preocupación de atención ante esta prestigiosa clínica  además está tan sobrecargado post operado que aveces no hay camillas ni monitores para los pacientes que llevo de pabellón a post operado , x su estructura física y falta de personal  , no cumple  con la normas  de clínica, es lo que debemos reforzar"
506,mejorar las relaciones interpersonales y la comunicacion para llevar a cabo un mejor trabajo y brindar una buena atencion a los pacientes.Ultimamente esto se a visto afectado por la sobre carga laboral y el no reemplazo de personal faltante.
507,"Seria bueno generar instancias de reunión  y conversación entre jefaturas y profesionales, ya q esto se fue perdiendo y ya sólo existe la comunicación a través de wsp. No existe retroalimentacion. Básicamente, no hay comunicacion"
508,Pagar las horas extras q trabajamos
509,Que entre personal capacitado
510,Escuchar y atender necesidades de los trabajadores
511,"FIJARSE MUY BIEN EN LA GENTE QUE TRAEN A TRABAJAR , HAY PERSONAS MUY MAL AGRADECIDA."
512,Quizás mejorar los sueldos para mejor satisfacción al personal y reconocer el trabajo de mis colegas tens.
513,Subir los sueldos
514,No se
515,Preocuparse de su personal en el sentido de desgaste laboral
516,Dar la posibilidad de rotar cuando ya no estemos cómodos en lo que hacemos
517,"Tener mas contacto con el personal...pero no me refiero a las ultimas visitas que hacen las jefaturas que no son mas de 5 minutos. 
Esto es muy importante de modificar. 
Ver de acuerdo al servicio que uno pertenece haya menos movimiento para poder conversar y ser escuchada."
518,Capacitar por más tiempo a las personas que vayan entrando a la institución para brindar un mejor servicio
519,"Aumentar la posibilidad de capacitación, mejorar sueldo base u otorgar la posibilidad de turno diurno en mi servicio"
520,Darle cursos de liderazgo a los jefes
521,Mejorar los ambientes laborales y retribuirles al personal de mejor forma tanto esfuerzo
522,"MEJORAR LOS SUELDOS Y BENEFICIOS, ES LA CLINICA QUE PEOR PAGA POR LO MENOS PARA LO QUE ES MI SERVICIO"
523,"Mejorar condiciones de trabajo en servicios , en relación a supervisores de área y ambiente laboral. 
Tener reemplazos para las personas que se encuentran en vacaciones o con licencia médica,  para no sobrepasar a quienes continúan trabajando ."
524,Subir sueldo y condiciones
525,Preocuparse por la carga laboral y el estrés que genera en el trabajador
526,"Pagar un sueldo digno,ya que la clínica cuenta con los medios y mejorar la infraestructura de los pabellones junto con aumentar los insumos médicos de calidad porque los pacientes no merecen insumos de tan baja calidad"
527,"Que sus coordinadores sean resolutivos, y quieran a su personal, que crean en ellos, ser cálido escuchar empatizar haría un mejor grupo y se llegaría a mejor y feliz rendimiento laboral,"
528,"Valorar el trabajo de las personas y que se vea reflejado en el sueldo, además de mejorar la calidad en las comidas. Tener a personas idoneas para puestos gerenciales o de supervición mejorando la comunicación entre las partes para el cumplimiento de objetivos."
529,Aumento de sueldo
